Attack_ID,Company_Name,Industry,Country,Attack_Date,Ransomware_Group,Attack_Vector,Ransom_Amount_USD,Payment_Status,Data_Exfiltration,Downtime_Days,Records_Affected,Estimated_Total_Loss_USD,Severity_Score
RA-100979,Ayers LLC,Energy,Canada,2023-07-27,Clop,RDP Exploit,1378168,Not Paid,Yes,37,1154044,2314865,8.08
RA-100980,Patel-Warren,Education,India,2025-02-14,Ryuk,Drive-by Download,81609,Not Paid,Yes,24,4829271,305409,8.51
RA-100981,Hess Inc,Healthcare,South Africa,2021-07-16,Hive,Drive-by Download,2987853,Negotiated,No,31,1506969,4979794,9.14
RA-100982,Mccoy-Washington,Government,India,2021-11-01,DarkSide,Malicious Attachment,3393947,Not Paid,No,16,285252,3653093,6.08
RA-100983,Diaz-Powell,Technology,Canada,2025-05-08,DarkSide,Malicious Attachment,756712,Paid,Yes,50,3889677,2580529,12.15
RA-100984,Nelson-Conway,Transportation,Germany,2021-08-27,LockBit,Credential Theft,698209,Unknown,No,8,4103961,2053341,6.0
RA-100985,Silva-Patterson,Technology,Brazil,2024-11-21,Ryuk,Malicious Attachment,798170,Not Paid,Yes,51,4973529,1187957,13.42
RA-100986,"Kennedy, Gray and Herring",Technology,United States,2022-10-29,Ryuk,Credential Theft,537662,Unknown,Yes,46,4509069,935404,11.95
RA-100987,Richardson Inc,Government,South Africa,2023-11-29,Clop,Credential Theft,4909999,Not Paid,Yes,35,1041036,6500220,11.2
RA-100988,Johnson Inc,Healthcare,United Kingdom,2024-02-11,Akira,RDP Exploit,3756661,Not Paid,Yes,52,2636606,4024705,14.19
RA-100989,Stone-Martin,Finance,France,2024-02-26,REvil,Malicious Attachment,2158863,Not Paid,No,55,293745,2346303,10.7
RA-100990,Johnson-Gardner,Transportation,Canada,2024-09-09,Hive,Zero-Day Exploit,5717,Not Paid,No,16,2521715,112534,4.93
RA-100991,Morales-Garner,Transportation,France,2024-11-24,Conti,Drive-by Download,2630097,Paid,Yes,34,2953872,3911332,10.68
RA-100992,Vasquez LLC,Government,United Kingdom,2022-05-01,Akira,Credential Theft,313146,Not Paid,No,13,1188491,951681,3.45
RA-100993,"Young, Jones and Anderson",Transportation,Canada,2022-07-23,REvil,Zero-Day Exploit,1082869,Not Paid,No,47,3540218,1248812,11.67
RA-100994,"Curry, Burns and Houston",Education,France,2023-07-24,Conti,Phishing Email,703385,Negotiated,Yes,17,3568138,2685125,6.82
RA-100995,Weaver PLC,Education,India,2025-01-03,Clop,Malicious Attachment,3126755,Unknown,No,37,4290264,4405415,12.97
RA-100996,Greer and Sons,Transportation,South Africa,2021-02-23,Hive,Zero-Day Exploit,2081161,Paid,No,5,2266074,2352510,5.1
RA-100997,Burns-Flores,Retail,United Kingdom,2024-08-04,Conti,Malicious Attachment,751369,Paid,Yes,24,2797846,2393102,7.15
RA-100998,Williams Group,Finance,United Kingdom,2023-02-12,Hive,Drive-by Download,1869163,Negotiated,No,25,880926,3520674,6.5
RA-100999,Matthews-Maxwell,Retail,France,2021-07-15,REvil,Credential Theft,4442239,Paid,Yes,23,4799709,6267110,12.69
RA-101000,Pratt Group,Manufacturing,France,2021-12-16,Hive,Credential Theft,2672547,Unknown,No,49,3267994,3061444,13.29
RA-101001,Carter and Sons,Transportation,United Kingdom,2024-04-28,Clop,RDP Exploit,1075153,Unknown,No,17,79770,2525179,3.7
RA-101002,King Group,Hospitality,India,2021-04-19,DarkSide,RDP Exploit,3110049,Unknown,No,46,2089799,4542369,12.1
RA-101003,"Brown, Burke and Fox",Technology,France,2025-06-24,Conti,Malicious Attachment,3936453,Paid,No,33,2406117,4524895,11.29
RA-101004,Rogers-Bailey,Finance,South Africa,2023-04-13,Conti,Phishing Email,2628427,Not Paid,Yes,55,756254,3969440,11.63
RA-101005,"Decker, Myers and Ruiz",Healthcare,India,2021-06-23,Hive,Drive-by Download,2402890,Not Paid,No,36,4134429,4108116,11.94
RA-101006,Mcdonald Ltd,Finance,India,2023-10-17,LockBit,Credential Theft,4325229,Not Paid,Yes,44,4466273,5798793,15.39
RA-101007,Jones-Shepherd,Manufacturing,Germany,2025-01-02,Hive,Drive-by Download,3569981,Paid,No,45,4482341,5152148,14.8
RA-101008,Bishop-Frey,Finance,Australia,2021-12-12,Clop,Credential Theft,4396573,Negotiated,Yes,58,1888112,4773184,14.98
RA-101009,Dominguez Ltd,Finance,Australia,2023-05-16,Conti,Credential Theft,4161621,Paid,No,25,1430223,4954453,9.34
RA-101010,"Hayes, Lawson and Ho",Healthcare,Japan,2022-09-05,Ryuk,RDP Exploit,4057743,Negotiated,Yes,19,2220990,4514574,9.13
RA-101011,"Crawford, Thomas and Valdez",Hospitality,Brazil,2023-08-07,Maze,Malicious Attachment,4100875,Negotiated,Yes,4,2984297,4123229,7.69
RA-101012,Carter-Carey,Manufacturing,United States,2021-01-11,BlackCat,Zero-Day Exploit,2938678,Unknown,Yes,57,1561704,3791875,13.05
RA-101013,"Hall, Gilbert and Arroyo",Finance,Brazil,2021-06-23,LockBit,RDP Exploit,4443383,Negotiated,Yes,33,1289518,5314723,10.68
RA-101014,Holloway-Reynolds,Technology,United Kingdom,2023-08-22,Hive,Malicious Attachment,3321510,Paid,No,24,2510684,4095912,9.43
RA-101015,Fisher-Taylor,Technology,United States,2024-09-06,Maze,Drive-by Download,3690591,Not Paid,Yes,11,1173451,4442432,6.51
RA-101016,"Brennan, Nelson and Owen",Technology,Australia,2022-01-24,LockBit,RDP Exploit,2394912,Not Paid,No,3,1121491,3232334,3.97
RA-101017,Lee-Bass,Transportation,Brazil,2024-09-24,Clop,Malicious Attachment,2234688,Unknown,No,8,3532503,3270337,6.97
RA-101018,"Ortega, Hall and Giles",Education,Australia,2021-09-27,Hive,Phishing Email,925505,Not Paid,Yes,7,177537,1200005,2.15
RA-101019,Gonzalez Ltd,Energy,Canada,2024-10-21,REvil,Zero-Day Exploit,2875086,Paid,No,28,67451,3795938,7.14
RA-101020,"Stone, Ayers and Callahan",Government,Canada,2022-05-23,BlackCat,Malicious Attachment,1284226,Not Paid,No,47,4288690,1686100,12.62
RA-101021,Martinez-Chandler,Transportation,Japan,2022-02-11,Clop,RDP Exploit,3980301,Not Paid,Yes,46,864670,5460708,11.74
RA-101022,Ewing Inc,Government,United Kingdom,2021-09-04,Ryuk,Phishing Email,1114777,Not Paid,Yes,26,321940,1699106,5.34
RA-101023,Anderson and Sons,Retail,Germany,2025-11-06,Conti,Malicious Attachment,432444,Unknown,No,25,3416756,1543388,7.6
RA-101024,"Espinoza, Savage and Ramos",Finance,Canada,2021-05-06,Maze,Malicious Attachment,4282046,Negotiated,No,28,433417,4930188,8.92
RA-101025,Casey LLC,Healthcare,United States,2022-05-21,LockBit,Drive-by Download,2688019,Negotiated,Yes,58,399031,3079179,11.79
RA-101026,Colon PLC,Education,Canada,2022-08-08,DarkSide,Malicious Attachment,3964910,Negotiated,No,18,845350,4878588,7.51
RA-101027,Allison PLC,Transportation,United Kingdom,2021-08-17,Maze,Malicious Attachment,817748,Negotiated,No,43,114701,2260022,7.38
RA-101028,Roberts-Rosario,Finance,South Africa,2022-05-03,Clop,Drive-by Download,2319810,Paid,Yes,14,4901791,3135219,9.32
RA-101029,"Sparks, Lee and Roth",Finance,South Africa,2024-04-16,Hive,Credential Theft,1602472,Negotiated,No,13,3739488,3553387,7.29
RA-101030,Hayes-Reed,Education,United States,2025-01-25,Clop,RDP Exploit,3982865,Unknown,No,49,1694591,5111816,13.03
RA-101031,Barnes Group,Finance,India,2025-12-31,BlackCat,Zero-Day Exploit,4705523,Unknown,Yes,23,3070431,5656058,11.23
RA-101032,Zimmerman-Hernandez,Healthcare,Japan,2021-12-08,LockBit,Drive-by Download,2304725,Not Paid,No,45,1081678,2922178,10.14
RA-101033,Harris LLC,Education,Brazil,2023-10-11,Hive,Zero-Day Exploit,4471680,Unknown,No,56,4307546,4638936,17.18
RA-101034,"Howell, Brewer and Burns",Education,Japan,2024-05-28,Conti,Credential Theft,2282458,Paid,No,14,1544160,2300008,5.93
RA-101035,Pugh-Stephenson,Government,Canada,2023-10-29,REvil,Credential Theft,4409633,Paid,Yes,17,2545288,6207402,9.5
RA-101036,Sellers and Sons,Healthcare,United Kingdom,2022-04-04,REvil,RDP Exploit,387625,Negotiated,Yes,35,1998407,1009664,7.64
RA-101037,Grimes and Sons,Finance,United States,2024-08-08,Maze,Drive-by Download,2093831,Negotiated,No,53,1761476,3224957,11.81
RA-101038,Harvey Inc,Hospitality,Canada,2021-06-20,Maze,Phishing Email,4612653,Paid,No,17,1120915,5479010,8.28
RA-101039,Merritt PLC,Transportation,Japan,2022-03-26,BlackCat,Drive-by Download,2351208,Unknown,No,12,2147476,2394004,6.3
RA-101040,"Young, Rangel and Rodriguez",Manufacturing,Canada,2025-11-17,Conti,Credential Theft,4626097,Unknown,Yes,14,3709415,5098810,10.44
RA-101041,"Lewis, Lane and Herrera",Education,Brazil,2023-07-03,BlackCat,Zero-Day Exploit,1948834,Not Paid,No,47,3639946,2731928,12.64
RA-101042,"Franklin, Castillo and Hoffman",Education,Canada,2022-01-14,LockBit,Malicious Attachment,1482322,Not Paid,Yes,13,4778737,2521013,8.21
RA-101043,Lee PLC,Education,South Africa,2025-08-02,Ryuk,RDP Exploit,3311766,Unknown,No,44,1575883,3467421,11.49
RA-101044,Bryant-Briggs,Finance,India,2021-07-25,Ryuk,Phishing Email,4423938,Paid,Yes,9,98989,5699136,5.87
RA-101045,"Williams, Anthony and Carter",Finance,Canada,2025-04-13,Clop,Drive-by Download,371918,Paid,Yes,9,2083351,1996971,3.81
RA-101046,Martinez-Houston,Finance,Germany,2025-06-10,Clop,Zero-Day Exploit,897035,Unknown,Yes,35,2838720,2695318,8.99
RA-101047,Davis Group,Healthcare,France,2022-09-22,REvil,Drive-by Download,2787973,Paid,Yes,31,1296251,3309277,8.73
RA-101048,"Kelly, Brown and Romero",Finance,France,2025-08-17,Ryuk,RDP Exploit,378509,Paid,Yes,7,4568889,1010814,6.0
RA-101049,"Young, Douglas and Deleon",Manufacturing,Canada,2021-02-19,Conti,Drive-by Download,1906488,Unknown,Yes,28,3232927,2225558,9.34
RA-101050,"Solomon, Harris and White",Retail,Australia,2023-10-05,BlackCat,Credential Theft,1427364,Negotiated,Yes,8,1883530,1650720,4.51
RA-101051,Li and Sons,Education,United Kingdom,2023-01-09,Ryuk,Credential Theft,716390,Negotiated,Yes,58,363719,1994131,9.78
RA-101052,Martinez Ltd,Retail,Australia,2024-10-23,BlackCat,Malicious Attachment,3572209,Unknown,No,10,2529800,4892422,7.6
RA-101053,"Sweeney, Villanueva and Gomez",Education,United Kingdom,2022-06-28,Maze,RDP Exploit,645633,Unknown,No,51,18376,2462778,8.31
RA-101054,"Barron, Soto and Long",Hospitality,India,2025-01-17,REvil,RDP Exploit,4018378,Paid,No,53,564767,4265700,12.53
RA-101055,Colon PLC,Manufacturing,Brazil,2021-09-19,Ryuk,Zero-Day Exploit,1530655,Unknown,No,50,3229860,2280129,12.26
RA-101056,Garcia-Ibarra,Energy,France,2021-10-11,Hive,Zero-Day Exploit,2067826,Not Paid,No,25,3512071,3229873,9.33
RA-101057,Cox-Torres,Hospitality,Germany,2021-06-21,BlackCat,RDP Exploit,4878478,Negotiated,Yes,46,3538756,5993563,15.32
RA-101058,Barr-Hood,Education,South Africa,2022-02-21,LockBit,Malicious Attachment,148903,Negotiated,Yes,24,4684084,1152798,8.43
RA-101059,Nguyen Inc,Technology,Germany,2022-08-27,Conti,RDP Exploit,3867017,Paid,Yes,10,4626420,5830182,9.99
RA-101060,Thompson Group,Technology,Australia,2021-08-29,LockBit,Drive-by Download,1205213,Paid,Yes,25,221113,2675087,5.18
RA-101061,"Williams, Escobar and Osborn",Education,Australia,2023-09-04,Clop,Phishing Email,4987209,Not Paid,Yes,56,1326952,5060513,14.71
RA-101062,Ramos-Mora,Education,Brazil,2021-01-26,Clop,Drive-by Download,4779654,Negotiated,No,54,3493912,5103633,16.37
RA-101063,Hall-Meyer,Finance,United Kingdom,2023-04-23,LockBit,Drive-by Download,2834787,Paid,Yes,29,110908,3446185,7.3
RA-101064,"Jackson, Smith and Patterson",Technology,Brazil,2023-10-28,Hive,Drive-by Download,1350103,Negotiated,No,1,3325266,3106359,4.83
RA-101065,Lawrence Ltd,Finance,France,2024-12-23,Ryuk,RDP Exploit,1911855,Not Paid,No,28,1315439,2491918,7.43
RA-101066,Watts PLC,Transportation,Japan,2024-06-21,BlackCat,Drive-by Download,474735,Unknown,No,15,3290875,869968,6.02
RA-101067,"Shelton, Mcintyre and Williams",Healthcare,Australia,2022-10-04,Ryuk,RDP Exploit,3403224,Negotiated,Yes,53,3191714,3758885,14.54
RA-101068,Roberts-Ward,Government,Canada,2021-08-02,Clop,Credential Theft,657705,Paid,Yes,24,2814240,726527,7.07
RA-101069,Goodman Ltd,Transportation,Germany,2022-03-10,LockBit,RDP Exploit,97081,Negotiated,Yes,49,2593187,500808,10.04
RA-101070,"Smith, White and Wood",Energy,United States,2024-03-13,LockBit,Malicious Attachment,4742859,Paid,No,3,4729088,6410082,9.92
RA-101071,Dunn and Sons,Transportation,Germany,2021-01-18,Maze,Zero-Day Exploit,2996789,Negotiated,Yes,49,2369061,3841741,12.72
RA-101072,"Garcia, Bird and Hutchinson",Transportation,South Africa,2024-12-10,Hive,RDP Exploit,821881,Paid,No,22,3416667,2712001,7.54
RA-101073,"Ellis, Kirk and Saunders",Education,United Kingdom,2023-09-04,DarkSide,Phishing Email,4923729,Paid,Yes,56,313903,5542153,13.64
RA-101074,"Oconnor, Ross and Gillespie",Education,France,2025-12-17,Hive,Drive-by Download,1813979,Negotiated,No,52,1181741,3436323,10.8
RA-101075,Bautista Inc,Hospitality,India,2025-05-28,LockBit,Drive-by Download,1105565,Unknown,Yes,22,2439856,1871203,6.85
RA-101076,"Morton, Bishop and Jordan",Energy,South Africa,2022-03-04,LockBit,RDP Exploit,634131,Negotiated,Yes,10,4755609,1960701,6.89
RA-101077,"Jones, Juarez and Parker",Retail,United Kingdom,2023-10-19,BlackCat,Malicious Attachment,794485,Negotiated,No,30,2631763,1160408,7.93
RA-101078,Rodriguez-Ortiz,Energy,Canada,2021-07-02,DarkSide,Drive-by Download,601714,Not Paid,Yes,12,3865076,1152661,6.27
RA-101079,"Sutton, Maxwell and Thomas",Retail,India,2024-03-10,Ryuk,Credential Theft,4100813,Not Paid,No,3,3049125,5912273,7.6
RA-101080,Willis Ltd,Finance,India,2023-01-22,Hive,Zero-Day Exploit,4303987,Negotiated,Yes,55,2631148,5097657,15.19
RA-101081,Miller LLC,Transportation,United States,2024-06-25,Clop,Phishing Email,483642,Negotiated,No,48,2053772,1961114,9.74
RA-101082,Davis PLC,Technology,Brazil,2021-11-21,BlackCat,Malicious Attachment,4787628,Unknown,No,26,612289,5265400,9.3
RA-101083,Rivera Ltd,Finance,United Kingdom,2024-08-08,BlackCat,Zero-Day Exploit,4493876,Unknown,Yes,58,3899569,4732715,17.09
RA-101084,"Johnston, Marks and Johnson",Hospitality,Brazil,2023-04-03,Conti,Drive-by Download,2762508,Unknown,Yes,5,2661678,3490622,6.17
RA-101085,Cole-Hamilton,Energy,United Kingdom,2022-07-25,Conti,Malicious Attachment,3818282,Paid,No,3,4572572,4154894,8.84
RA-101086,Black Inc,Government,United States,2021-05-08,Conti,Phishing Email,3037421,Unknown,No,51,3608121,4040232,14.3
RA-101087,Chan-Cunningham,Retail,India,2022-06-01,BlackCat,Malicious Attachment,1482281,Unknown,No,6,1189083,1637527,3.57
RA-101088,Gallegos Ltd,Healthcare,South Africa,2023-12-11,Ryuk,Malicious Attachment,1801042,Negotiated,Yes,43,2176501,2197082,10.43
RA-101089,Chavez Group,Transportation,United Kingdom,2022-02-11,Ryuk,Malicious Attachment,2934941,Unknown,Yes,27,4040265,3942135,11.03
RA-101090,Brown LLC,Education,Australia,2024-02-23,Maze,Phishing Email,1670641,Not Paid,No,5,4852820,2973561,7.27
RA-101091,"Cook, Thomas and Miller",Technology,Canada,2021-10-30,Hive,Drive-by Download,4194653,Paid,No,56,2654321,4442903,15.25
RA-101092,"Butler, Cantu and Clark",Hospitality,South Africa,2025-09-01,LockBit,RDP Exploit,1059592,Not Paid,No,41,3769341,2409496,10.98
RA-101093,Hicks-Richardson,Technology,Germany,2024-11-27,Maze,RDP Exploit,4585903,Not Paid,Yes,50,1393456,5856172,13.48
RA-101094,"Berger, Young and Burch",Retail,France,2023-01-29,BlackCat,Drive-by Download,3056729,Unknown,No,2,2532993,4947150,5.89
RA-101095,"Johnson, Herrera and Krause",Transportation,India,2023-04-28,Hive,Malicious Attachment,3447574,Paid,Yes,23,2954661,5194405,9.85
RA-101096,"Johnson, Hughes and Williams",Hospitality,United Kingdom,2023-07-29,Hive,Zero-Day Exploit,3598542,Unknown,No,24,1484004,4767750,8.68
RA-101097,Juarez Group,Hospitality,South Africa,2025-09-27,BlackCat,Phishing Email,3674962,Paid,Yes,41,2376159,5157356,12.2
RA-101098,"Scott, Pollard and Barnes",Hospitality,France,2024-06-16,BlackCat,Drive-by Download,3455063,Unknown,Yes,7,4164246,5037808,8.67
RA-101099,Schneider-Harris,Government,Brazil,2024-09-29,Hive,Zero-Day Exploit,2436894,Paid,Yes,55,3528691,2891219,14.22
RA-101100,Morris-Smith,Energy,India,2025-10-20,Ryuk,Phishing Email,3944074,Negotiated,Yes,8,2941260,5618690,8.09
RA-101101,Rivas LLC,Technology,Germany,2023-11-06,LockBit,Zero-Day Exploit,2384046,Paid,Yes,18,2218879,3038703,7.3
RA-101102,Sanford-Williams,Transportation,Japan,2021-02-23,Maze,Malicious Attachment,1291605,Not Paid,No,51,3140842,3064826,12.08
RA-101103,"Gross, Alvarez and Anderson",Technology,United States,2022-05-11,Akira,Zero-Day Exploit,4666881,Not Paid,No,26,1616252,5969288,10.18
RA-101104,Cole-Oliver,Education,India,2025-01-31,Conti,Phishing Email,1462246,Not Paid,Yes,26,2668725,2557054,8.03
RA-101105,Hernandez-Lopez,Retail,France,2024-07-17,Clop,Malicious Attachment,4844671,Not Paid,Yes,51,3288536,6622634,15.78
RA-101106,Chavez PLC,Hospitality,United Kingdom,2021-07-11,LockBit,Credential Theft,220085,Paid,No,28,96888,1548971,4.52
RA-101107,Harper-Jones,Government,Germany,2021-02-21,REvil,RDP Exploit,1100116,Not Paid,No,30,3004239,1501350,8.6
RA-101108,"Baldwin, Henderson and Sanders",Finance,United Kingdom,2025-04-27,LockBit,Drive-by Download,2190062,Paid,Yes,43,434200,2776705,9.07
RA-101109,"Howard, Sanchez and Lowery",Retail,United Kingdom,2023-07-30,BlackCat,Phishing Email,1034150,Unknown,No,7,1189901,1636517,3.27
RA-101110,"Rodriguez, Collins and Richards",Healthcare,India,2026-02-13,BlackCat,Zero-Day Exploit,1749599,Paid,Yes,26,844595,2789378,6.49
RA-101111,Bartlett Group,Energy,United Kingdom,2024-11-08,Clop,Malicious Attachment,3527436,Paid,Yes,25,2630641,4866090,9.91
RA-101112,Kramer-Browning,Manufacturing,Australia,2024-09-12,DarkSide,Credential Theft,4763805,Paid,Yes,41,263925,5019606,11.18
RA-101113,"Sanchez, Wright and Soto",Hospitality,United States,2023-12-05,Hive,Phishing Email,2139909,Not Paid,Yes,60,1020101,2554334,12.16
RA-101114,Powell-Campbell,Manufacturing,United Kingdom,2025-11-11,Conti,Phishing Email,3065924,Not Paid,No,8,1820073,3137784,6.09
RA-101115,Vazquez-Blevins,Transportation,Canada,2022-07-15,DarkSide,Drive-by Download,4044742,Unknown,No,13,771598,4785711,6.77
RA-101116,Villanueva-Lam,Education,Germany,2023-11-16,REvil,Zero-Day Exploit,3359957,Paid,No,60,1619556,3894440,13.98
RA-101117,Taylor-Olson,Energy,India,2021-12-06,Akira,Drive-by Download,1731642,Negotiated,No,47,4092329,2650697,12.87
RA-101118,Callahan-Watts,Government,Japan,2024-06-29,Maze,Malicious Attachment,907271,Paid,No,39,3213321,1817605,9.97
RA-101119,Woods Ltd,Technology,Canada,2021-12-09,Akira,Drive-by Download,288199,Negotiated,No,33,2122951,1528953,7.36
RA-101120,"Lewis, Cobb and Mccoy",Education,Australia,2021-03-03,Conti,Phishing Email,966753,Not Paid,No,12,2706945,1877242,5.47
RA-101121,"Gomez, Roberson and Barnes",Healthcare,Australia,2023-02-01,LockBit,Drive-by Download,1221680,Negotiated,Yes,50,2637922,1488169,11.36
RA-101122,Green-Schaefer,Government,France,2023-08-12,BlackCat,Zero-Day Exploit,4765277,Negotiated,Yes,51,2697551,6660079,15.11
RA-101123,"Gordon, Baker and Cruz",Hospitality,South Africa,2023-12-16,Akira,Drive-by Download,1829215,Unknown,No,7,4705762,2422324,7.58
RA-101124,Anderson-Harris,Energy,Brazil,2022-10-13,LockBit,Malicious Attachment,2690373,Unknown,Yes,13,1653689,2804517,6.29
RA-101125,"Long, Freeman and Bryan",Technology,Germany,2021-09-12,Akira,Phishing Email,3803236,Negotiated,Yes,11,2742124,5053011,8.2
RA-101126,Mullen Inc,Education,India,2024-08-11,LockBit,Credential Theft,4834814,Paid,No,1,3873723,5441172,8.86
RA-101127,Perry LLC,Technology,Canada,2024-08-13,REvil,Malicious Attachment,141501,Negotiated,No,5,3941851,350981,4.83
RA-101128,"Moore, Montgomery and Crawford",Hospitality,United States,2021-06-13,Ryuk,Malicious Attachment,4672842,Unknown,No,50,2627199,5718454,14.8
RA-101129,Griffin Ltd,Hospitality,South Africa,2025-10-05,LockBit,RDP Exploit,1023485,Paid,Yes,54,3136651,2999992,12.26
RA-101130,Lawson and Sons,Education,South Africa,2021-10-12,Conti,Drive-by Download,886942,Negotiated,Yes,21,3654869,1371614,7.69
RA-101131,"Carter, Joseph and Duncan",Healthcare,Canada,2024-11-10,BlackCat,Malicious Attachment,445326,Negotiated,No,17,361449,687697,3.36
RA-101132,"Gonzalez, Miller and Hernandez",Energy,South Africa,2022-07-07,Clop,Malicious Attachment,1433903,Not Paid,No,60,1155742,2667493,11.59
RA-101133,Moss Ltd,Transportation,Germany,2024-07-28,Akira,Zero-Day Exploit,3752860,Unknown,No,43,1026641,4857077,11.23
RA-101134,Kim-Torres,Retail,South Africa,2022-10-22,Maze,Credential Theft,4054234,Not Paid,Yes,15,770168,4617487,7.07
RA-101135,Hughes-Long,Government,United States,2024-11-24,Conti,Zero-Day Exploit,659451,Unknown,Yes,5,4149153,795839,5.56
RA-101136,Walker LLC,Hospitality,France,2023-09-26,Hive,Malicious Attachment,881900,Negotiated,No,22,1750479,2598972,5.93
RA-101137,"Martinez, Wolfe and Wilkinson",Education,Germany,2024-09-04,Maze,Zero-Day Exploit,1296836,Unknown,Yes,55,4232248,1528422,13.78
RA-101138,Glover-Bowers,Technology,United Kingdom,2025-05-17,REvil,Credential Theft,3362162,Paid,Yes,13,575888,3954831,5.89
RA-101139,Lewis-Hayes,Healthcare,Brazil,2023-08-03,Clop,Malicious Attachment,904035,Paid,No,48,924517,1418531,9.03
RA-101140,"Schmidt, Hines and Taylor",Finance,France,2024-09-17,BlackCat,Malicious Attachment,4458389,Unknown,Yes,29,2952527,5025347,11.76
RA-101141,Chen-Webb,Manufacturing,United States,2021-11-05,DarkSide,Malicious Attachment,3334673,Negotiated,Yes,33,3614318,4409872,11.9
RA-101142,Garcia Group,Retail,Germany,2021-04-11,Ryuk,RDP Exploit,3213831,Negotiated,No,47,3545028,3630535,13.81
RA-101143,Walker-Miller,Government,South Africa,2023-11-29,Conti,Phishing Email,3642009,Paid,Yes,7,418452,5007492,5.11
RA-101144,"Manning, Carrillo and Nicholson",Finance,Canada,2024-03-24,Conti,Credential Theft,2237864,Unknown,No,16,552467,3363825,5.19
RA-101145,Johnson-Rubio,Government,United Kingdom,2023-03-16,Conti,Malicious Attachment,854801,Negotiated,No,15,2250486,1903251,5.36
RA-101146,Carr-Johnson,Hospitality,Brazil,2025-02-11,REvil,Drive-by Download,31062,Not Paid,Yes,7,1552653,1096433,2.63
RA-101147,"Wu, Contreras and Patterson",Energy,United Kingdom,2022-10-08,LockBit,Drive-by Download,587627,Unknown,No,11,1571658,1294207,3.81
RA-101148,Larson-Chavez,Finance,United Kingdom,2022-11-16,LockBit,Credential Theft,179708,Negotiated,No,12,2213284,2037838,4.19
RA-101149,Kennedy-Rose,Finance,United States,2024-04-09,LockBit,Credential Theft,13442,Negotiated,Yes,32,2076367,1014489,6.89
RA-101150,Smith LLC,Finance,South Africa,2023-12-12,REvil,Drive-by Download,4225698,Negotiated,No,11,1229726,5861528,7.11
RA-101151,Perez-Rhodes,Energy,Canada,2023-10-02,Maze,Zero-Day Exploit,2947564,Paid,No,35,2158820,4348832,10.36
RA-101152,Mcmahon PLC,Hospitality,Brazil,2022-09-09,BlackCat,Malicious Attachment,2804604,Paid,Yes,58,4343981,4438903,15.85
RA-101153,Lucero-Carter,Energy,United States,2023-04-21,Conti,Credential Theft,1852637,Unknown,No,43,1188204,2611727,9.49
RA-101154,Hale Group,Finance,Canada,2022-02-27,Hive,Zero-Day Exploit,753884,Not Paid,No,13,3169133,2103405,5.87
RA-101155,Garcia-Reyes,Hospitality,India,2026-02-08,REvil,Malicious Attachment,2931324,Not Paid,Yes,57,2778370,3761365,14.26
RA-101156,"Williams, Garza and Martinez",Hospitality,South Africa,2024-04-01,Ryuk,Zero-Day Exploit,4367728,Negotiated,No,45,2879694,6127112,14.0
RA-101157,"Castillo, Ellis and Clark",Education,France,2021-08-14,REvil,Credential Theft,74918,Not Paid,No,32,1234325,1062856,6.11
RA-101158,Crawford Group,Energy,United States,2023-09-25,Conti,Malicious Attachment,2423099,Paid,Yes,5,2472447,2465798,5.65
RA-101159,Wilson PLC,Healthcare,United States,2023-09-28,REvil,RDP Exploit,2570416,Negotiated,No,1,3609909,3319149,6.33
RA-101160,"Jackson, Hayes and Allen",Finance,Canada,2025-05-28,Clop,Drive-by Download,4216024,Not Paid,No,43,4704004,4551160,15.37
RA-101161,"Farmer, Jones and Davis",Energy,Australia,2024-04-13,Conti,Drive-by Download,682111,Unknown,No,19,1836012,759506,5.37
RA-101162,Campbell-Martin,Retail,Japan,2023-03-29,REvil,RDP Exploit,828247,Unknown,No,58,2191715,2768033,11.72
RA-101163,Davis-Riddle,Education,India,2025-07-06,Hive,RDP Exploit,4855019,Negotiated,No,9,1673683,5389349,7.88
RA-101164,Rodgers and Sons,Education,India,2021-06-25,Ryuk,Phishing Email,2499219,Not Paid,No,37,3868543,3653908,11.92
RA-101165,Fisher-Boyd,Manufacturing,India,2024-11-22,DarkSide,Zero-Day Exploit,2632819,Unknown,No,33,2999522,3625080,10.58
RA-101166,Mitchell-Smith,Education,Japan,2021-02-26,REvil,RDP Exploit,4693469,Negotiated,Yes,2,3531021,4888918,8.52
RA-101167,Watson-Gray,Retail,United States,2024-06-25,Ryuk,RDP Exploit,4562275,Unknown,Yes,58,4744483,6413166,18.01
RA-101168,"Erickson, Bonilla and Kane",Healthcare,Canada,2023-08-06,BlackCat,Malicious Attachment,4350368,Paid,No,30,455989,4537910,9.31
RA-101169,"Adams, Lee and Norris",Healthcare,South Africa,2024-03-04,Akira,Drive-by Download,4043845,Paid,Yes,45,2779309,5866443,13.57
RA-101170,"Roberts, Hodges and Kelly",Government,United Kingdom,2023-11-24,REvil,Drive-by Download,1214233,Negotiated,Yes,36,4155016,1510290,10.77
RA-101171,Robinson Ltd,Finance,United States,2025-07-08,Clop,Credential Theft,4073098,Paid,Yes,40,1683692,4323659,11.76
RA-101172,Greene-Stanley,Transportation,Brazil,2022-05-22,Ryuk,Phishing Email,1718739,Paid,No,7,3974139,1780447,6.74
RA-101173,Travis Group,Transportation,Canada,2023-04-09,Akira,Drive-by Download,4062733,Unknown,Yes,12,1970817,5837949,7.83
